"","term","gene","human","mouse"
"4115","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"C14ORF180",NA
"4116","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Frmpd1","FRMPD1","Frmpd1"
"4117","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SLC17A3",NA
"4118","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Eno2","ENO2","Eno2"
"4119","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Jph1","JPH1","Jph1"
"4120","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Ubash3b","UBASH3B","Ubash3b"
"4121","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"TFR2",NA
"4122","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Abca5","ABCA5","Abca5"
"4123","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Prrt4","PRRT4","Prrt4"
"4124","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SLC16A12",NA
"4125","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"PAX1",NA
"4126","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Esrrb","ESRRB","Esrrb"
"4127","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Rbms3","RBMS3","Rbms3"
"4128","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Vldlr","VLDLR","Vldlr"
"4129","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Tmem121","TMEM121","Tmem121"
"4130","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Tbxas1","TBXAS1","Tbxas1"
"4131","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Hapln4","HAPLN4","Hapln4"
"4132","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Plod2","PLOD2","Plod2"
"4133","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Igfbpl1","IGFBPL1","Igfbpl1"
"4134","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"LRRN1",NA
"4135","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Lhx2","LHX2","Lhx2"
"4136","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"RPRML",NA
"4137","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Unc5cl","UNC5C","Unc5cl"
"4138","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Draxin","DRAXIN","Draxin"
"4139","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Meis1","MEIS1","Meis1"
"4140","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Lpo","LPO","Lpo"
"4141","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Gdpd3","GDPD3","Gdpd3"
"4142","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Eps8l1","EPS8L1","Eps8l1"
"4143","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CYP4F2",NA
"4144","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Dmrta2","DMRTA2","Dmrta2"
"4145","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CLDN9",NA
"4146","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CYP4F8",NA
"4147","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"GIMAP1-GIMAP5",NA
"4148","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Pik3c2g","PIK3C2G","Pik3c2g"
"4149","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Btbd11","BTBD11","Btbd11"
"4150","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"RARRES2",NA
"4151","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Rasd1","RASD1","Rasd1"
"4152","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"GIMAP4",NA
"4153","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Rgs20","RGS20","Rgs20"
"4154","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CYP4F12",NA
"4155","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Pax9","PAX9","Pax9"
"4156","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"LRRC3B",NA
"4157","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Igsf9b","IGSF9B","Igsf9b"
"4158","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"NXPH4",NA
"4159","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Robo1","ROBO1","Robo1"
"4160","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Hoxa6","HOXA6","Hoxa6"
"4161","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Nrp2","NRP2","Nrp2"
"4162","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Epor","EPOR","Epor"
"4163","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Rgma","RGMA","Rgma"
"4164","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Slc19a3","SLC19A3","Slc19a3"
"4165","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Pdlim4","PDLIM4","Pdlim4"
"4166","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Sp9","SP9","Sp9"
"4167","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Arhgap44","ARHGAP44","Arhgap44"
"4168","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Fam178b","FAM178B","Fam178b"
"4169","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Trim5","TRIM5","Trim5"
"4170","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Cfap126","CFAP126","Cfap126"
"4171","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Hoxa5","HOXA5","Hoxa5"
"4172","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"TMEM52B",NA
"4173","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Hdac1","HDAC1","Hdac1"
"4174","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Prss22","PRSS22","Prss22"
"4175","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Gpr37l1","GPR37L1","Gpr37l1"
"4176","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Map4k1","MAP4K1","Map4k1"
"4177","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Vash2","VASH2","Vash2"
"4178","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Rarb","RARB","Rarb"
"4179","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Gimap5","GIMAP5","Gimap5"
"4180","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Hoxa1","HOXA1","Hoxa1"
"4181","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Notum","NOTUM","Notum"
"4182","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Adora2b","ADORA2B","Adora2b"
"4183","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"EPHA7",NA
"4184","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Hoxa7","HOXA7","Hoxa7"
"4185","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"RFX8",NA
"4186","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Hoxb2","HOXB2","Hoxb2"
"4187","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CYP4F11",NA
"4188","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CYP4A11",NA
"4189","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CYP4A22",NA
"4190","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Pcp4l1","PCP4L1","Pcp4l1"
"4191","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Shisa7","SHISA7","Shisa7"
"4192","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Itpkb","ITPKB","Itpkb"
"4193","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Tmem108","TMEM108","Tmem108"
"4194","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Gnb4","GNB4","Gnb4"
"4195","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Acacb","ACACB","Acacb"
"4196","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"TPSB2",NA
"4197","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"TPSAB1",NA
"4198","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CFAP57",NA
"4199","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Adora1","ADORA1","Adora1"
"4200","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Cldn11","CLDN11","Cldn11"
"4201","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Btn1a1","BTN1A1","Btn1a1"
"4202","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Rnf26","RNF26","Rnf26"
"4203","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Cyp26b1","CYP26B1","Cyp26b1"
"4204","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"AMBN",NA
"4205","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Olfm2","OLFM2","Olfm2"
"4206","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Ttc30b","TTC30B","Ttc30b"
"4207","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"TTC30A",NA
"4208","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"FOXD1",NA
"4209","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Kcnq5","KCNQ5","Kcnq5"
"4210","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Slc26a9","SLC26A9","Slc26a9"
"4211","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","S1pr5","S1PR5","S1pr5"
"4212","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"IGFBP1",NA
"4213","Genes down-regulated upon HDAC1 deletion in murine enteroid (Gonneaud et al., 2019)","Hmgcs2","HMGCS2","Hmgcs2"
"4214","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Lrrc3","LRRC3","Lrrc3"
"4215","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SIRPG",NA
"4216","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"NUDT11",NA
"4217","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Psapl1","PSAPL1","Psapl1"
"4218","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Nox1","NOX1","Nox1"
"4219","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"TMPRSS15",NA
"4220","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Rbm11","RBM11","Rbm11"
"4221","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"TENM1",NA
"4222","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Itih5","ITIH5","Itih5"
"4223","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"NXF2",NA
"4224","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"NXF2B",NA
"4225","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tmigd1","TMIGD1","Tmigd1"
"4226","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Magix","MAGIX","Magix"
"4227","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"APBB1IP",NA
"4228","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"GLDC",NA
"4229","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Runx2","RUNX2","Runx2"
"4230","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"RIMS4",NA
"4231","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Clu","CLU","Clu"
"4232","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Pkhd1","PKHD1","Pkhd1"
"4233","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Lin28b","LIN28B","Lin28b"
"4234","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Gng11","GNG11","Gng11"
"4235","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Msn","MSN","Msn"
"4236","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Vsig1","VSIG1","Vsig1"
"4237","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"MYO3A",NA
"4238","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"C15ORF62",NA
"4239","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Susd2","SUSD2","Susd2"
"4240","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Morn4","MORN4","Morn4"
"4241","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Gchfr","GCHFR","Gchfr"
"4242","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Col4a1","COL4A1","Col4a1"
"4243","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ano3","ANO3","Ano3"
"4244","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tfpi2","TFPI2","Tfpi2"
"4245","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Camk2b","CAMK2B","Camk2b"
"4246","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Kif6","KIF6","Kif6"
"4247","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Fhl1","FHL1","Fhl1"
"4248","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Grb10","GRB10","Grb10"
"4249","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Vnn1","VNN1","Vnn1"
"4250","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Afp","AFP","Afp"
"4251","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Msrb2","MSRB2","Msrb2"
"4252","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Smoc1","SMOC1","Smoc1"
"4253","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"DLK1",NA
"4254","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Dscaml1","DSCAML1","Dscaml1"
"4255","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Slc28a3","SLC28A3","Slc28a3"
"4256","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tmeff1","TMEFF1","Tmeff1"
"4257","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Nos2","NOS2","Nos2"
"4258","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Gsdma","GSDMA","Gsdma"
"4259","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tspo2","TSPO2","Tspo2"
"4260","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ptpn13","PTPN13","Ptpn13"
"4261","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SLC47A1",NA
"4262","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Bdnf","BDNF","Bdnf"
"4263","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"ERVFRD-1",NA
"4264","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Asb4","ASB4","Asb4"
"4265","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Azgp1","AZGP1","Azgp1"
"4266","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Sgsm1","SGSM1","Sgsm1"
"4267","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SIRPB1",NA
"4268","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Sirpa","SIRPA","Sirpa"
"4269","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SCARA3",NA
"4270","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Lama3","LAMA3","Lama3"
"4271","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Col4a2","COL4A2","Col4a2"
"4272","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"ZNF182",NA
"4273","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Limch1","LIMCH1","Limch1"
"4274","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Pltp","PLTP","Pltp"
"4275","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"USP41",NA
"4276","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Usp18","USP18","Usp18"
"4277","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Myof","MYOF","Myof"
"4278","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CYP2D6",NA
"4279","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tpm2","TPM2","Tpm2"
"4280","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"NLRP1",NA
"4281","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Kif27","KIF27","Kif27"
"4282","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"MEI1",NA
"4283","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Aspg","ASPG","Aspg"
"4284","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Col26a1","COL26A1","Col26a1"
"4285","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"REG1B",NA
"4286","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Hnmt","HNMT","Hnmt"
"4287","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Kcng3","KCNG3","Kcng3"
"4288","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CYP2R1",NA
"4289","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Pcolce","PCOLCE","Pcolce"
"4290","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CYP4F8",NA
"4291","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Cxcl10","CXCL10","Cxcl10"
"4292","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"C6ORF118",NA
"4293","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Serpina1e","SERPINA1","Serpina1e"
"4294","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Copz2","COPZ2","Copz2"
"4295","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Phyhd1","PHYHD1","Phyhd1"
"4296","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Vwa3b","VWA3B","Vwa3b"
"4297","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ptafr","PTAFR","Ptafr"
"4298","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tmprss11a","TMPRSS11A","Tmprss11a"
"4299","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"NPHP4",NA
"4300","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"C9ORF131",NA
"4301","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Slc16a9","SLC16A9","Slc16a9"
"4302","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Efemp1","EFEMP1","Efemp1"
"4303","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Prom2","PROM2","Prom2"
"4304","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Gabra2","GABRA2","Gabra2"
"4305","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SMIM10L2B",NA
"4306","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Smim10l2a","SMIM10L2A","Smim10l2a"
"4307","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tnfrsf11b","TNFRSF11B","Tnfrsf11b"
"4308","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ltbp1","LTBP1","Ltbp1"
"4309","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Syt17","SYT17","Syt17"
"4310","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Rdh12","RDH12","Rdh12"
"4311","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Rec8","REC8","Rec8"
"4312","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Hal","HAL","Hal"
"4313","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"THEGL",NA
"4314","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Sntb1","SNTB1","Sntb1"
"4315","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"ZNF462",NA
"4316","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Casp14","CASP14","Casp14"
"4317","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"VSTM2A",NA
"4318","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SLC27A5",NA
"4319","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Armcx3","ARMCX3","Armcx3"
"4320","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Sult4a1","SULT4A1","Sult4a1"
"4321","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Slc28a2","SLC28A2","Slc28a2"
"4322","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"KCNJ5",NA
"4323","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CEACAM21",NA
"4324","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"FBXO16",NA
"4325","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ebf1","EBF1","Ebf1"
"4326","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"APOL3",NA
"4327","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"APOL4",NA
"4328","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"APOL2",NA
"4329","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"APOL1",NA
"4330","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ryr3","RYR3","Ryr3"
"4331","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Flnc","FLNC","Flnc"
"4332","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"PNPLA1",NA
"4333","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Lrrtm2","LRRTM2","Lrrtm2"
"4334","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Psmb8","PSMB8","Psmb8"
"4335","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Cfi","CFI","Cfi"
"4336","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Clic3","CLIC3","Clic3"
"4337","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Gbgt1","GBGT1","Gbgt1"
"4338","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Cd80","CD80","Cd80"
